User Name,Tweets Ago,Compound,Negative,Neutral,Positive,Tweet,Date
@CBS,11,-0.296,0.109,0.891,0.0,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,Sat Jul 21 00:19:12 +0000 2018
@CBS,12,-0.7964,0.264,0.736,0.0,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX",Sat Jul 21 00:10:00 +0000 2018
@CBS,13,-0.6597,0.18,0.82,0.0,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,Fri Jul 20 23:44:54 +0000 2018
@CBS,14,0.3182,0.0,0.905,0.095,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",Fri Jul 20 22:29:36 +0000 2018
@CBS,15,0.0,0.0,1.0,0.0,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,Fri Jul 20 21:39:09 +0000 2018
@CBS,16,0.0,0.0,1.0,0.0,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",Fri Jul 20 15:08:23 +0000 2018
@CBS,17,0.0,0.0,1.0,0.0,🤰👩‍👧🚫🍸 #WorldEmojiDay,Tue Jul 17 17:55:25 +0000 2018
@CBS,18,0.0,0.0,1.0,0.0,👨📝✔️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018
@CBS,19,0.0,0.0,1.0,0.0,👩‍💼💼🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018
@CBS,20,0.0,0.0,1.0,0.0,🕵️🕵️‍♀️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018
@CBS,21,0.0,0.0,1.0,0.0,⚓️🦅🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018
@CBS,22,0.0,0.0,1.0,0.0,🏄🌴🚔 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018
@CBS,23,0.0,0.0,1.0,0.0,💙👮🍽 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018
@CBS,24,0.0,0.0,1.0,0.0,💣📎 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018
@CBS,25,0.0,0.0,1.0,0.0,🌎☄️ #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018
@CBS,26,0.0,0.0,1.0,0.0,🏷💰🎰 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018
@CBS,27,0.0,0.0,1.0,0.0,👶😴🚫 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018
@CBS,28,0.0,0.0,1.0,0.0,🤝💼💰 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018
@CBS,29,0.0,0.0,1.0,0.0,💄👠📷 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018
@CBS,30,0.0,0.0,1.0,0.0,🏝🔥💵 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018
@CBS,31,0.0,0.0,1.0,0.0,🐮⚖️ #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018
@CBS,32,0.0,0.0,1.0,0.0,🏠📹📹📹 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018
@CBS,33,0.0,0.0,1.0,0.0,👶💥🌎🔬 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018
@CBS,34,0.0,0.0,1.0,0.0,💥🌎🔬 #WorldEmojiDay,Tue Jul 17 17:22:26 +0000 2018
